"Branch_Code","normal_clid_count","hr_clid_count","lat_1","lon_1","lat_2","lon_2","lat_3","lon_3","lat_4","lon_4"
"potential_146",106,7,47.5563338723248,34.3957752278563,47.5563338723248,34.4047752278563,47.5653338723248,34.4047752278563,47.5653338723248,34.3957752278563
"potential_147",113,9,47.556317690819,34.3971040392646,47.556317690819,34.4061040392646,47.565317690819,34.4061040392646,47.565317690819,34.3971040392646
"potential_148",114,9,47.5563014939225,34.3984328495111,47.5563014939225,34.4074328495111,47.5653014939225,34.4074328495111,47.5653014939225,34.3984328495111
"potential_149",115,8,47.5562852816354,34.3997616585944,47.5562852816354,34.4087616585944,47.5652852816354,34.4087616585944,47.5652852816354,34.3997616585944
"potential_150",103,9,47.5562690539577,34.4010904665135,47.5562690539577,34.4100904665135,47.5652690539577,34.4100904665135,47.5652690539577,34.4010904665135
"potential_151",95,8,47.556252810889504,34.4024192732674,47.556252810889504,34.4114192732674,47.565252810889504,34.4114192732674,47.565252810889504,34.4024192732674
"potential_152",74,6,47.556236552430704,34.4037480788549,47.556236552430704,34.412748078854904,47.565236552430704,34.412748078854904,47.565236552430704,34.4037480788549
"potential_153",47,2,47.5562202785814,34.4050768832749,47.5562202785814,34.4140768832749,47.5652202785814,34.4140768832749,47.5652202785814,34.4050768832749
"potential_154",31,2,47.5562039893416,34.4064056865263,47.5562039893416,34.4154056865263,47.5652039893416,34.4154056865263,47.5652039893416,34.4064056865263
"potential_159",33,1,47.5575061328538,34.3732087640381,47.5575061328538,34.3822087640381,47.5665061328538,34.3822087640381,47.5665061328538,34.3732087640381
"potential_160",35,1,47.5574902124959,34.3745376177611,47.5574902124959,34.3835376177611,47.5664902124959,34.3835376177611,47.5664902124959,34.3745376177611
"potential_170",38,1,47.5573301623781,34.3878260919293,47.5573301623781,34.3968260919293,47.5663301623781,34.3968260919293,47.5663301623781,34.3878260919293
"potential_171",51,1,47.5573140727131,34.389154933015604,47.5573140727131,34.398154933015604,47.5663140727131,34.398154933015604,47.5663140727131,34.389154933015604
"potential_172",57,3,47.5572979676569,34.3904837729465,47.5572979676569,34.3994837729465,47.5662979676569,34.3994837729465,47.5662979676569,34.3904837729465
"potential_173",79,3,47.5572818472092,34.3918126117209,47.5572818472092,34.4008126117209,47.5662818472092,34.4008126117209,47.5662818472092,34.3918126117209
"potential_174",86,3,47.5572657113703,34.3931414493376,47.5572657113703,34.4021414493376,47.5662657113703,34.4021414493376,47.5662657113703,34.3931414493376
"potential_175",91,5,47.5572333935189,34.3957991210938,47.5572333935189,34.4047991210938,47.5662333935189,34.4047991210938,47.5662333935189,34.3957991210938
"potential_176",96,7,47.5572172115063,34.3971279552311,47.5572172115063,34.4061279552311,47.5662172115063,34.4061279552311,47.5662172115063,34.3971279552311
"potential_177",94,7,47.5572010141026,34.3984567882063,47.5572010141026,34.407456788206304,47.5662010141026,34.407456788206304,47.5662010141026,34.3984567882063
"potential_178",95,6,47.5571848013078,34.3997856200184,47.5571848013078,34.4087856200184,47.5661848013078,34.4087856200184,47.5661848013078,34.3997856200184
"potential_179",84,7,47.557168573122,34.4011144506663,47.557168573122,34.4101144506663,47.566168573122,34.4101144506663,47.566168573122,34.4011144506663
"potential_180",76,7,47.5571523295451,34.4024432801488,47.5571523295451,34.4114432801488,47.5661523295451,34.4114432801488,47.5661523295451,34.4024432801488
"potential_181",64,6,47.5571360705771,34.4037721084648,47.5571360705771,34.4127721084648,47.5661360705771,34.4127721084648,47.5661360705771,34.4037721084648
"potential_182",42,2,47.5571197962182,34.4051009356133,47.5571197962182,34.4141009356133,47.5661197962182,34.4141009356133,47.5661197962182,34.4051009356133
"potential_187",38,1,47.558437457974,34.3705745156814,47.558437457974,34.3795745156814,47.567437457974,34.3795745156814,47.567437457974,34.3705745156814
"potential_188",43,1,47.5584215679021,34.3719033944191,47.5584215679021,34.3809033944191,47.5674215679021,34.3809033944191,47.5674215679021,34.3719033944191
"potential_189",44,1,47.5584056624379,34.3732322720156,47.5584056624379,34.3822322720156,47.5674056624379,34.3822322720156,47.5674056624379,34.3732322720156
"potential_190",46,1,47.5583897415814,34.3745611484698,47.5583897415814,34.3835611484698,47.5673897415814,34.3835611484698,47.5673897415814,34.3745611484698
"potential_191",42,1,47.5583738053328,34.3758900237807,47.5583738053328,34.3848900237807,47.5673738053328,34.3848900237807,47.5673738053328,34.3758900237807
"potential_192",38,1,47.558357853692,34.3772188979472,47.558357853692,34.3862188979472,47.567357853692,34.3862188979472,47.567357853692,34.3772188979472
"potential_193",36,0,47.558341886659,34.3785477709681,47.558341886659,34.3875477709681,47.567341886659,34.3875477709681,47.567341886659,34.3785477709681
"potential_200",42,1,47.5582296864515,34.3878498499462,47.5582296864515,34.3968498499462,47.5672296864515,34.3968498499462,47.5672296864515,34.3878498499462
"potential_201",70,6,47.5582135962828,34.389178713763,47.5582135962828,34.398178713763,47.5672135962828,34.398178713763,47.5672135962828,34.389178713763
"potential_202",77,8,47.5581974907222,34.3905075764242,47.5581974907222,34.3995075764242,47.5671974907222,34.3995075764242,47.5671974907222,34.3905075764242
"potential_203",98,8,47.5581813697697,34.3918364379289,47.5581813697697,34.4008364379289,47.5671813697697,34.4008364379289,47.5671813697697,34.3918364379289
"potential_204",106,9,47.558132914562,34.3958230154923,47.558132914562,34.4048230154923,47.567132914562,34.4048230154923,47.567132914562,34.3958230154923
"potential_205",114,11,47.5581167320427,34.3971518723596,47.5581167320427,34.4061518723596,47.5671167320427,34.4061518723596,47.5671167320427,34.3971518723596
"potential_206",91,6,47.558100534131796,34.3984807280648,47.558100534131796,34.4074807280648,47.5671005341318,34.4074807280648,47.5671005341318,34.3984807280648
"potential_207",94,5,47.5580843208293,34.3998095826067,47.5580843208293,34.4088095826067,47.5670843208293,34.4088095826067,47.5670843208293,34.3998095826067
"potential_208",84,6,47.5580680921353,34.4011384359844,47.5580680921353,34.4101384359844,47.5670680921353,34.4101384359844,47.5670680921353,34.4011384359844
"potential_209",75,6,47.5580518480497,34.402467288196604,47.5580518480497,34.411467288196604,47.5670518480497,34.411467288196604,47.5670518480497,34.402467288196604
"potential_210",62,5,47.5580355885726,34.4037961392423,47.5580355885726,34.4127961392423,47.5670355885726,34.4127961392423,47.5670355885726,34.4037961392423
"potential_211",42,2,47.5580193137041,34.4051249891203,47.5580193137041,34.4141249891203,47.5670193137041,34.4141249891203,47.5670193137041,34.4051249891203
"potential_221",38,0,47.5593369884031,34.3705979793363,47.5593369884031,34.3795979793363,47.568336988403104,34.3795979793363,47.568336988403104,34.3705979793363
"potential_222",45,0,47.5593210978336,34.3719268808064,47.5593210978336,34.3809268808064,47.5683210978336,34.3809268808064,47.5683210978336,34.3719268808064
"potential_223",44,0,47.5593051918713,34.3732557811353,47.5593051918713,34.3822557811353,47.5683051918713,34.3822557811353,47.5683051918713,34.3732557811353
"potential_224",45,0,47.5592892705163,34.3745846803219,47.5592892705163,34.3835846803219,47.5682892705163,34.3835846803219,47.5682892705163,34.3745846803219
"potential_225",44,0,47.5592733337686,34.375913578365,47.5592733337686,34.384913578365,47.5682733337686,34.384913578365,47.5682733337686,34.375913578365
"potential_226",38,0,47.5592573816283,34.3772424752637,47.5592573816283,34.3862424752637,47.5682573816283,34.3862424752637,47.5682573816283,34.3772424752637
"potential_227",39,0,47.5592414140953,34.3785713710167,47.5592414140953,34.3875713710167,47.5682414140953,34.3875713710167,47.5682414140953,34.3785713710167
"potential_233",48,1,47.5591452856546,34.3865447214148,47.5591452856546,34.3955447214148,47.5681452856546,34.3955447214148,47.5681452856546,34.3865447214148
"potential_234",59,1,47.5591292103743,34.3878736091176,47.5591292103743,34.3968736091176,47.5681292103743,34.3968736091176,47.5681292103743,34.3878736091176
"potential_235",87,6,47.5591131197016,34.3892024956658,47.5591131197016,34.3982024956658,47.5681131197016,34.3982024956658,47.5681131197016,34.3892024956658
"potential_236",93,8,47.5590970136366,34.3905313810586,47.5590970136366,34.3995313810586,47.5680970136366,34.3995313810586,47.5680970136366,34.3905313810586
"potential_237",113,8,47.5590808921794,34.391860265294596,47.5590808921794,34.4008602652946,47.5680808921794,34.4008602652946,47.5680808921794,34.391860265294596
"potential_238",104,9,47.5590324354542,34.3958469110518,47.5590324354542,34.4048469110518,47.5680324354542,34.4048469110518,47.5680324354542,34.3958469110518
"potential_239",110,11,47.5590162524282,34.3971757906502,47.5590162524282,34.4061757906502,47.5680162524282,34.4061757906502,47.5680162524282,34.3971757906502
"potential_240",88,6,47.5590000540101,34.3985046690864,47.5590000540101,34.4075046690864,47.5680000540101,34.4075046690864,47.5680000540101,34.3985046690864
"potential_241",91,5,47.5589838401998,34.399833546359304,47.5589838401998,34.408833546359304,47.5679838401998,34.408833546359304,47.5679838401998,34.399833546359304
"potential_242",81,6,47.5589676109976,34.4011624224679,47.5589676109976,34.4101624224679,47.5679676109976,34.4101624224679,47.5679676109976,34.4011624224679
"potential_243",71,6,47.5589513664033,34.4024912974109,47.5589513664033,34.4114912974109,47.5679513664033,34.4114912974109,47.5679513664033,34.4024912974109
"potential_244",60,5,47.5589351064171,34.4038201711874,47.5589351064171,34.4128201711874,47.5679351064171,34.4128201711874,47.5679351064171,34.4038201711874
"potential_245",40,2,47.5589188310389,34.4051490437961,47.5589188310389,34.4141490437961,47.5679188310389,34.4141490437961,47.5679188310389,34.4051490437961
"potential_249",161,9,47.5603945827184,34.3573321395671,47.5603945827184,34.3663321395671,47.5693945827184,34.3663321395671,47.5693945827184,34.3573321395671
"potential_250",144,8,47.5603788455854,34.3586610751228,47.5603788455854,34.3676610751228,47.5693788455854,34.3676610751228,47.5693788455854,34.3586610751228
"potential_251",146,8,47.5603630930588,34.3599900095484,47.5603630930588,34.3689900095484,47.5693630930588,34.3689900095484,47.5693630930588,34.3599900095484
"potential_252",147,8,47.5603473251387,34.3613189428425,47.5603473251387,34.3703189428425,47.5693473251387,34.3703189428425,47.5693473251387,34.3613189428425
"potential_257",32,0,47.5602682546363,34.3679635923045,47.5602682546363,34.3769635923045,47.5692682546363,34.3769635923045,47.5692682546363,34.3679635923045
"potential_258",32,0,47.5602523943556,34.369292518787404,47.5602523943556,34.378292518787404,47.5692523943556,34.378292518787404,47.5692523943556,34.369292518787404
"potential_259",46,0,47.5602365186817,34.3706214441313,47.5602365186817,34.3796214441313,47.5692365186817,34.3796214441313,47.5692365186817,34.3706214441313
"potential_260",52,0,47.5602206276146,34.3719503683349,47.5602206276146,34.3809503683349,47.5692206276146,34.3809503683349,47.5692206276146,34.3719503683349
"potential_261",59,0,47.5602047211542,34.3732792913973,47.5602047211542,34.3822792913973,47.5692047211542,34.3822792913973,47.5692047211542,34.3732792913973
"potential_262",59,0,47.5601887993006,34.3746082133173,47.5601887993006,34.3836082133173,47.5691887993006,34.3836082133173,47.5691887993006,34.3746082133173
"potential_263",58,0,47.560172862053804,34.3759371340938,47.560172862053804,34.3849371340938,47.569172862053804,34.3849371340938,47.569172862053804,34.3759371340938
"potential_264",44,0,47.5601569094139,34.3772660537257,47.5601569094139,34.3862660537257,47.5691569094139,34.3862660537257,47.5691569094139,34.3772660537257
